file_read,file_write,num_nodes,num_edges,graph_density,gamma,lowest_energy_dwave,lowest_energy_or_tools,vi pham,correct_solutions,percentage_correct,SA timing
data_1.txt,SA_1.json,20,38,0.2,1.0,-8.0,-8,868,331,0.331,"{'preprocessing_ns': 4214500, 'sampling_ns': 700309100, 'postprocessing_ns': 802700}"
data_2.txt,SA_2.json,20,38,0.2,1.0,-9.0,-9,400,600,0.6,"{'preprocessing_ns': 4155100, 'sampling_ns': 713033300, 'postprocessing_ns': 545400}"
data_3.txt,SA_3.json,20,38,0.2,1.0,-9.0,-9,432,568,0.568,"{'preprocessing_ns': 2714700, 'sampling_ns': 686778000, 'postprocessing_ns': 590100}"
data_4.txt,SA_4.json,20,38,0.2,1.0,-9.0,-9,916,315,0.315,"{'preprocessing_ns': 3295100, 'sampling_ns': 711473200, 'postprocessing_ns': 681600}"
data_5.txt,SA_5.json,20,38,0.2,1.0,-9.0,-9,931,328,0.328,"{'preprocessing_ns': 2935900, 'sampling_ns': 719737100, 'postprocessing_ns': 599600}"
data_6.txt,SA_6.json,30,261,0.6,1.0,-5.0,-5,319,681,0.681,"{'preprocessing_ns': 4933900, 'sampling_ns': 1342596900, 'postprocessing_ns': 689100}"
data_7.txt,SA_7.json,30,261,0.6,1.0,-5.0,-5,517,526,0.526,"{'preprocessing_ns': 7528700, 'sampling_ns': 1328809900, 'postprocessing_ns': 658700}"
data_8.txt,SA_8.json,30,261,0.6,1.0,-5.0,-5,439,561,0.561,"{'preprocessing_ns': 5440000, 'sampling_ns': 1284457700, 'postprocessing_ns': 659200}"
data_9.txt,SA_9.json,30,261,0.6,1.0,-5.0,-5,474,562,0.562,"{'preprocessing_ns': 5928000, 'sampling_ns': 1360222000, 'postprocessing_ns': 614900}"
data_10.txt,SA_10.json,30,261,0.6,1.0,-5.0,-5,477,562,0.562,"{'preprocessing_ns': 4907900, 'sampling_ns': 1314534600, 'postprocessing_ns': 613100}"
data_11.txt,SA_11.json,40,312,0.4,1.0,-8.0,-8,726,414,0.414,"{'preprocessing_ns': 8758600, 'sampling_ns': 1747156200, 'postprocessing_ns': 778200}"
data_12.txt,SA_12.json,40,312,0.4,1.0,-9.0,-9,454,546,0.546,"{'preprocessing_ns': 6166500, 'sampling_ns': 1761881700, 'postprocessing_ns': 938900}"
data_13.txt,SA_13.json,40,312,0.4,1.0,-9.0,-9,431,563,0.563,"{'preprocessing_ns': 6747000, 'sampling_ns': 1754710200, 'postprocessing_ns': 775600}"
data_14.txt,SA_14.json,40,312,0.4,1.0,-9.0,-9,103,775,0.775,"{'preprocessing_ns': 6644400, 'sampling_ns': 1740722800, 'postprocessing_ns': 699300}"
data_15.txt,SA_15.json,40,312,0.4,1.0,-8.0,-8,216,783,0.783,"{'preprocessing_ns': 7293200, 'sampling_ns': 1750831900, 'postprocessing_ns': 696600}"
